"year","GOA.ar1","EBS.ar1","member","model"
2008,0.160436311547058,-0.0973334946344378,"LE2-1301.017","FCM"
2009,0.0683496727298192,-0.0541015184730885,"LE2-1301.017","FCM"
2010,0.335500365655217,-0.15302086541906,"LE2-1301.017","FCM"
2011,0.44228865810725,-0.1451169476207,"LE2-1301.017","FCM"
2012,0.399403616185359,0.0458655835156821,"LE2-1301.017","FCM"
2013,0.413834794752097,0.0690603975826339,"LE2-1301.017","FCM"
2014,0.388959129441038,0.0415639612263327,"LE2-1301.017","FCM"
1964,0.21827294740664,0.242217010033752,"LE2-1301.018","FCM"
1965,0.177516876136536,0.229988959147788,"LE2-1301.018","FCM"
1966,0.116298471613389,0.246945138887595,"LE2-1301.018","FCM"
1967,0.308413005102899,0.350628711664614,"LE2-1301.018","FCM"
1968,0.402839577836853,0.336147169719383,"LE2-1301.018","FCM"
